work_id,mp_no,fy,work_no,mp_name,mp_state,state,constituency,work_category,work_desc,work_status,recommended_date,recommended_amount,sanction_date,sanction_amount,completion_date,amount_disbursed,exp_pay_count,exp_total,exp_inprogress,exp_paid,exp_vendors,alloc_limit,calamity_consent,is_recommended,is_sanctioned,is_completed,has_expenditure
MP013/2024-2025/137238,013,2024-2025,137238,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Construction of drainage system from Pakyong road to Lower Senti at Chubba khola under Senti,Work Completed,2024-08-27,1500000.0,2024-11-13,1500000.0,2024-11-25,1497506.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/137609,013,2024-2025,137609,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Repair and Renovation,Upgradation and repiar & restoration of Nawadaya SHG's envelope manufacturing plant,Work Completed,2024-08-29,1000000.0,2024-10-03,1000000.0,2025-11-06,999539.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/137610,013,2024-2025,137610,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,"Construction of RCC footpath at Christain burial ground,Chandmari",Physical Inspection,2024-08-29,1000000.0,2024-12-24,1000000.0,2025-02-17,1000000.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/137611,013,2024-2025,137611,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Anti erosion work at Kayathang rumtek under Kayathang Rumtek,Work Completed,2024-08-30,1500000.0,2024-10-03,1500000.0,2025-01-24,1499841.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/137612,013,2024-2025,137612,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Repair and Renovation,restoration of protective work at  Rumtek Arigaon under Kagyud ward,Work Completed,2024-08-30,1500000.0,2024-10-03,1500000.0,2024-12-21,1499525.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/141726,013,2024-2025,141726,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Protective wall near PMGSY road at Upper Luing,Work Completed,2024-09-19,2000000.0,2024-12-04,2000000.0,2025-01-20,1999843.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/141727,013,2024-2025,141727,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Protective wall at Navey-Shotak,Physical Inspection,2024-09-19,2931657.0,2024-12-04,2931657.0,,,,,,,,152003923.11,,1,1,0,0
MP013/2024-2025/141729,013,2024-2025,141729,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Boundary and protection railing at Sichey near SBS traffic point,Work Completed,2024-09-19,1000000.0,2024-10-03,1000000.0,2025-01-24,999391.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/143926,013,2024-2025,143926,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Construction of protective wall at Sharchock under Lachung Dzomsa,Physical Inspection,2024-09-27,3450507.0,2024-11-14,3450507.0,2025-04-22,3450507.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/143927,013,2024-2025,143927,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Protective wall at needed locations below Indira Bye pass-Helipad road,Vendor Identification,2024-09-27,3000000.0,2025-03-06,3000000.0,,,,,,,,152003923.11,,1,1,0,0
MP013/2024-2025/145805,013,2024-2025,145805,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Construction and renovation of approach road at Sharchock below Lachung Monastery,,2024-10-28,2995995.0,,,,,,,,,,152003923.11,,1,0,0,0
MP013/2024-2025/146441,013,2024-2025,146441,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Construction of protective wall for village footpath near the house of Mr.P.T Bhutia at Middle Luing,,2024-10-09,3200000.0,,,2025-11-06,3199986.0,,,,,,152003923.11,,1,0,1,0
MP013/2024-2025/151021,013,2024-2025,151021,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,"Supply and installation of  PC system, printers ,copiers, needed electronic devices, books and furniture for various schools in Gyalshing district",,,,,,2025-04-21,3000000.0,,,,,,152003923.11,,0,0,1,0
MP013/2024-2025/151022,013,2024-2025,151022,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,"Supply and installation of PC system, printers, copiers, needed electronic devices, books and furniture for various schools in Gyalshing district",,,,,,2025-04-21,3000000.0,,,,,,152003923.11,,0,0,1,0
MP013/2024-2025/151023,013,2024-2025,151023,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,"Supply and installation of PC system,printers,copiers,projectors,needed electronic devices,books and furniture for various schools in Gyalshing district",,,,,,2025-04-21,3000000.0,,,,,,152003923.11,,0,0,1,0
MP013/2024-2025/151024,013,2024-2025,151024,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,"Supply and installation of PC system,printers,copiers,projectors,needed electronic devices books and furniture for varios schools in Gyalshung district",,,,,,2025-04-21,3000000.0,,,,,,152003923.11,,0,0,1,0
MP013/2024-2025/151026,013,2024-2025,151026,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Construction of protective wall near Ani Gumpa Takshe,,,,,,2025-11-06,499902.0,,,,,,152003923.11,,0,0,1,0
MP013/2025-2026/232375,013,2025-2026,232375,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,"Purchase of IT systems, including hardware and software for educational purposes",,,,,,,,,1.0,514900.0,0.0,0.0,1.0,152003923.11,40567400.0,0,0,0,1
MP013/2025-2026/233549,013,2025-2026,233549,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Development of playfields and sports grounds,,,,,,,,,1.0,1498966.0,0.0,0.0,1.0,152003923.11,40567400.0,0,0,0,1
MP013/2025-2026/249445,013,2025-2026,249445,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",,,,,,,,,1.0,407440.0,0.0,0.0,1.0,152003923.11,40567400.0,0,0,0,1
MP013/2025-2026/249449,013,2025-2026,249449,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",,,,,,,,,1.0,314974.0,0.0,0.0,1.0,152003923.11,40567400.0,0,0,0,1
MP013/2026-2027/225126,013,2026-2027,225126,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",,,,,,,,,1.0,180027.0,0.0,0.0,1.0,152003923.11,40567400.0,0,0,0,1
MP013/2026-2027/249440,013,2026-2027,249440,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Construction of community centers and community halls,,,,,,,,,2.0,498416.0,0.0,0.0,2.0,152003923.11,40567400.0,0,0,0,1
MP017/2024-2025/143499,017,2024-2025,143499,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Normal/Others,Compound Wall and Other Work In rural Vetrinery Dispencery at Velanchery Village,Physical Inspection,2024-09-25,996610.0,2024-10-07,996610.0,2024-10-09,996610.0,,,,,,180589332.34,,1,1,1,0
MP017/2024-2025/143500,017,2024-2025,143500,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Normal/Others,Chekkanur to Ramakrishnapuram Road Big Lake Retaining Work,Physical Inspection,2024-09-25,999654.0,2024-10-01,999654.0,2024-10-26,999654.0,,,,,,180589332.34,,1,1,1,0
MP017/2024-2025/160039,017,2024-2025,160039,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Normal/Others,"Construction of Cement road at Thanigaipolur,Melkandigai village",,,,,,2025-03-19,1498638.0,,,,,,180589332.34,,0,0,1,0
MP017/2024-2025/166510,017,2024-2025,166510,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Normal/Others,Construction of Retainning Wall around Kosasthali River near Sangeetkuppam,,,,,,2025-02-20,989987.0,,,,,,180589332.34,,0,0,1,0
MP017/2024-2025/166512,017,2024-2025,166512,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Normal/Others,Construction of Multi Purpose Building at draupadi Amman Koil Street,,,,,,2025-01-27,1199072.0,,,,,,180589332.34,,0,0,1,0
MP017/2025-2026/166511,017,2025-2026,166511,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Normal/Others,"Construction of kaliyarangam at Govt High School karimbedu panchayat in pallipet union ,Tiruvallur District",,,,,,2025-04-02,664853.0,,,,,,180589332.34,,0,0,1,0
MP017/2025-2026/257980,017,2025-2026,257980,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Construction of community centers and community halls,,,,,,,,,1.0,1599822.0,1.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/188574,017,2026-2027,188574,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",,,,,,,,,1.0,1900000.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/188575,017,2026-2027,188575,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Construction of buildings for crèches and anganwadies,,,,,,,,,1.0,1799989.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/234413,017,2026-2027,234413,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Construction of culverts and bridges,,,,,,,,,1.0,1500000.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/234415,017,2026-2027,234415,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,658619.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/235384,017,2026-2027,235384,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Construction of footpaths and pedestrian ways,,,,,,,,,1.0,700000.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/235386,017,2026-2027,235386,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Construction of community centers and community halls,,,,,,,,,1.0,799000.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/235389,017,2026-2027,235389,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,399772.0,1.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/238009,017,2026-2027,238009,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Setting up crops conservation facilities,,,,,,,,,1.0,999929.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/238012,017,2026-2027,238012,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Providing CCTV camera system for security of public areas,,,,,,,,,1.0,375000.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/240783,017,2026-2027,240783,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Construction of bus-sheds or bus-stops,,,,,,,,,1.0,486945.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP017/2026-2027/240784,017,2026-2027,240784,S. Jagathrakshakan,Tamil Nadu,Tamil Nadu,ARAKKONAM,Construction of bus-sheds or bus-stops,,,,,,,,,1.0,480456.0,0.0,0.0,1.0,180589332.34,40567400.0,0,0,0,1
MP021/2025-2026/172020,021,2025-2026,172020,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of common work sheds/ common covered sitting area,,,,,,,,,1.0,16997.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/176251,021,2025-2026,176251,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of rooms and halls in school and colleges,,,,,,,,,5.0,93730.0,0.0,0.0,5.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/176252,021,2025-2026,176252,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of rooms and halls in school and colleges,,,,,,,,,5.0,123307.0,0.0,0.0,5.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/177234,021,2025-2026,177234,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of common work sheds/ common covered sitting area,,,,,,,,,6.0,178713.0,0.0,0.0,6.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/177236,021,2025-2026,177236,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Normal/Others,Janpad Nainital ke antargat gram Mhatoliya Gaon PahadPani vikaskhand Dhari Mein Vidyut sarvjanik Sthan Mein Transformer Mein Vidyut line shift karne Hetu,,,,,,2026-02-02,251547.0,,,,,,147000000.0,,0,0,1,0
MP021/2025-2026/177238,021,2025-2026,177238,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,4.0,76249.0,0.0,0.0,4.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/177239,021,2025-2026,177239,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,6.0,79390.0,0.0,0.0,6.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/177240,021,2025-2026,177240,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,6.0,65292.0,0.0,0.0,6.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/177534,021,2025-2026,177534,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of common work sheds/ common covered sitting area,,,,,,,,,1.0,7262.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/178118,021,2025-2026,178118,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,9.0,94966.0,0.0,0.0,9.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/178119,021,2025-2026,178119,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,9.0,173513.0,0.0,0.0,9.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/178127,021,2025-2026,178127,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,1.0,485215.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/189668,021,2025-2026,189668,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,1.0,296948.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/192301,021,2025-2026,192301,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,1.0,499724.0,1.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/192489,021,2025-2026,192489,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Security gates in streets/public place for safety purpose,,,,,,,,,4.0,38422.0,0.0,0.0,4.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/192505,021,2025-2026,192505,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of common work sheds/ common covered sitting area,,,,,,,,,2.0,33072.0,0.0,0.0,2.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/197138,021,2025-2026,197138,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,12.0,249033.0,0.0,0.0,12.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/200599,021,2025-2026,200599,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Security gates in streets/public place for safety purpose,,,,,,,,,10.0,250000.0,0.0,0.0,10.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/200609,021,2025-2026,200609,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of rooms and halls in school and colleges,,,,,,,,,9.0,109557.0,0.0,0.0,9.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/200617,021,2025-2026,200617,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,6.0,81850.0,0.0,0.0,6.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/202411,021,2025-2026,202411,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,3.0,46404.0,0.0,0.0,3.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/203235,021,2025-2026,203235,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of toilet blocks,,,,,,,,,4.0,72992.0,0.0,0.0,4.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/204378,021,2025-2026,204378,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,180092.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/204380,021,2025-2026,204380,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,6.0,227696.0,0.0,0.0,6.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/204383,021,2025-2026,204383,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of toilet blocks,,,,,,,,,5.0,50000.0,0.0,0.0,5.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/204384,021,2025-2026,204384,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Security gates in streets/public place for safety purpose,,,,,,,,,16.0,250000.0,0.0,0.0,16.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/208921,021,2025-2026,208921,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,10.0,148180.0,0.0,0.0,10.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/208985,021,2025-2026,208985,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Security gates in streets/public place for safety purpose,,,,,,,,,2.0,23795.0,0.0,0.0,2.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/209054,021,2025-2026,209054,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,8.0,124331.0,0.0,0.0,8.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/209055,021,2025-2026,209055,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of community centers and community halls,,,,,,,,,7.0,66159.0,0.0,0.0,7.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/210942,021,2025-2026,210942,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of toilet blocks,,,,,,,,,13.0,192007.0,0.0,0.0,8.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/227810,021,2025-2026,227810,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Security gates in streets/public place for safety purpose,,,,,,,,,5.0,64260.0,0.0,0.0,5.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/231978,021,2025-2026,231978,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Construction of toilet blocks,,,,,,,,,4.0,42832.0,0.0,0.0,4.0,147000000.0,40567400.0,0,0,0,1
MP021/2025-2026/232606,021,2025-2026,232606,Ajay Bhatt,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,11.0,112190.0,0.0,0.0,11.0,147000000.0,40567400.0,0,0,0,1
