split,kind,anchor_text,other_text,label
train,hard_negative,ARSHAD AHAMAD S\O HASIM K GHAR 01 NAG SOLAR LIGHT,SANJAY YADAV S\O SABHAJEET YADAV K GHAR 01 NAG SOLAR LIGHT,0
train,easy_negative,installation of solar street light near budhan manjhi house in shahartola in khamhara,Installation of a semi high mast light with six LEDs at a public place in consultation with Shri Boba Parmar in village Kumhrour of Amritpur assembly of my parliamentary constituency Farrukhabad. mobile number 8112948626. (Executing Agency UPSIC Muradabad),0
train,positive,15.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE PATHVARI ME KABRISTAN KE PASS HIGH MAST LIGHT),83.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (SEOHARA ME MAIN CHORAHE PAR HIGH MAST LIGHT),1
train,hard_negative,Rakesh Saroj son of Devraj Add.- Korali ke Ghar ke samne hundpump,Ajay Saroj Son of Sitaram Add.- Trilochanpur ke Ghar ke samne hundpump,0
train,hard_negative,gram panchayt Ban banroulee me  sarvjanik sthan par himax light sthapna kary,gram panchayat armar me jind baba ke sthsn par sarvjanik sthan par himax light sthapna kary,0
train,positive,MS Pole with LED semi High Mast Light,MS pole with LED Semi High Mast LIght,1
train,hard_negative,MANBODH KUMAR PAL S/O JOKHU RAM PAL K GHAR 01 NAG SOLAR LIGHT,SHRIMATI KAMLESH KUMARI W\O KAMLESH K GHAR 01 NAG SOLAR LIGHT,0
train,easy_negative,"Installetion of Street Light at East Side of Sundia Bazar, G.P- Chandaneswar-I",water tank 5500 liter  900*20 tyre,0
train,hard_negative,Construction of Boundary Wall of Play ground near Chatpara char Kabaristhan,Construction of raised Platform Middle Barghol Char near Taijuddin Supa at Barghol,0
train,positive,SANTOSH YADAV S\O LAL JI YADAV K GHAR 01 NAG SOLAR LIGHT,SANJAY YADAV S\O RAMA SHANKAR YADAV K GHAR 01 NAG SOLAR LIGHT,1
train,hard_negative,Kalum Nuri S/o Abdul khalik Address- Nagvanshi Kara ke Ghar ke samne Handpump,Dhara Pradhan S/o Ram Sumare Ke Ghar ke samane Handpump,0
train,easy_negative,"Construction of PCC Road from Kuila Bedia's house via Swarnrekha River at Barwa Toli, Village-Rangamati under Angara Block.","Construction of Boundary Wall at: Kshetr Panchayat Jakhania, Gram Panchayat Padumpur Magrai, Qabristan, Development Agency - Vikas Khand Jakhania",0
train,positive,HIGH MAST LIGHT KA ADHISTHAPAN -1,HIGH MAST LIGHT KA ADHISTHAPAN -1,1
train,easy_negative,Vikash khand Naraini ke gram panchayat Tarahati Kalinjar me sc abadi ke paas saunta chaurahe ke paas sarwajanik sthan par high mast light sthapana karya,Procurement and supply of Bench and Desk to Pukkiravari Govt High School (30 set),0
train,hard_negative,Pradeep Maurya Son of SUkhlal Add.- Garibpur Bihar ke Ghar ke samne hundpump,Ranjeet Patel Son of Kaleshwar Add.- Jaichandrapur Babganj ke Ghar ke samne hundpump,0
train,positive,installation of solar street light near bajrangbali mandir in jamkudar,installation of solar street light near shiv mandir in mahuatanr,1
train,easy_negative,Installation of fixed garden gym equipment at village Bara Gadram,"CONSTRUCTION OF SHED AT GARBALIA GIRLS HIGH SCHOOL  IN SEALDANGA GRAM PANCHAYAT UNDER JGATBALLAVPUR PANCHAYAT  SAMITI, DIST- HOWRAH",0
train,positive,RAJU YADAV S\O RAM MOCHAN YADAV K GHAR 01 NAG SOLAR LIGHT,ADALAT YADAV S\O GUDARI YADAV K GHAR 01 NAG SOLAR LIGHT,1
train,hard_negative,"1- SANTOSH KUMAR YADAV S\O NAND LAL YADAV, 2- SANTOSH PATEL S\O SATYA NARAYAN K GHAR 02 NAG SOLAR LIGHT","1- AJEET KUMAR YADAV S\O RAM YASH YADAV , 2- VIJAY YADAV S\O VISHRAM YADAV K GHAR KUL 02 NAG SOLAR LIGHT",0
train,hard_negative,Construction of Assam Type Community hall at K Sarali,Construction of Urinal Shed at Amotla,0
train,positive,MS pole with LED semi High Mast Light,MS pole with LED Semi High Mast Light,1
train,positive,MS Pole with LED semi High Mast Light,MS Pole with LED Semi High Mast Light,1
train,hard_negative,Raj Lal Saroj S/o Nanku Circuit House ke samne Handpump,Mohd Jishan S/o Abdul Gaffar Ke Ghar ke Samne Handpump,0
train,positive,MS Pole with LED semi High Mast Light,MS pole with LED Semi High Mast Light,1
train,positive,L.No. 179 Dt. 07.10.24 Gram Panchayat Chakora ke Chakora me,L.No. 179 Dt. 07.10.24 Gram Panchayat Chikhlimal ke Chikhalimalme,1
train,easy_negative,Providing Cement Concrete Pavement at Chettithangal New Street in Sirumur Panchayat,Providing High mass Light at near  Ananthakoundampalayam Vennadhur Block (12 mts Ladder - 200 Watts - 6 nos),0
train,positive,Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.,Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.,1
train,positive,Construction of Streets & Drains,Construction of Streets & Drains,1
train,easy_negative,Gram Arniya Maujpur Block Khurja me Siyaram ke Ghar se Bhawan Singh ke Ghar ki or interlockin g v nali nirman  length 85 Mtr,Upgradation of Existing CC Road from Penumuru-Nendragunta Road to Challampalem Road at Thalaripallie HW of Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.,0
train,hard_negative,VIJAY PATEL S\O RAJ NATH PATEL K GHAR 01 NAG SOLAR LIGHT,RAMA YADAV S\O PUDDUN YADAV K GHAR 01 NAG SOLAR LIGHT,0
train,easy_negative,Book's purchase for Student's improve knowledge and mental development.,Installation of solar street light near kali mandir in taranari.,0
train,positive,Purchase of mobile water tanker for village Balwara,Purchase of mobile water tanker for village Tirmundi(Gouty),1
train,positive,"Construction of bus-sheds or bus-stops at Santhe Mogenahalli Cross Road, Honganur Grama Panchayath, Channapatna Taluk, Ramanagara District, Karnataka","Construction of bus-sheds or bus-stops at Aralalu Village, Shivanahalli Grama Panchayath, Kanakapura Taluk, Ramanagara District, Karnataka",1
train,easy_negative,CONSTRUCTION OF CONCRETE ROAD & UNDERGROUND DWC PIPE DRAIN AT UKIL PARA FROM H/O MADHUMITA NAIYA TO H/O ASIT NANDY AT WARD NO. 15 UNDER BARUIPUR MUNICIPALITY IN BARUIPUR PASCHIM AC,Cc tv camera,0
train,hard_negative,CHAUPHAL KOTHAR BUS STAND KE PAS,TANSAR BUS STAND KE PAS,0
train,hard_negative,Pradeep Kumar Yadav Son of  Chandrakesh Add.- Kara Jamethi ke Ghar ke samne hundpump,"Ratilal Patel son of Nanku Patel   Add.- Jugai ka purwa,kandarau ke Ghar ke samne hundpump",0
train,positive,1.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE HAMEEDPUR ME LAL SINGH KE MAKAN  KE PASS HIGH MAST LIGHT),57.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE TAHARPUR (BIRUWALA)  TAHARPUR GURUDWARA KE FRONT SIDE ME PASS  HIGH MAST LIGHT),1
train,hard_negative,PREM CHAND PAL S\O RAM LAKHAN PAL K GHAR 01 NAG SOLAR LIGHT,Ramchaitra Patel s/o Rajpat Patel 1 nag Solar Lite,0
train,hard_negative,Construction of PCC Flooring & Side Drain,Construction of Urinal Shed at Theiva,0
train,hard_negative,POPAT SINGH S\O SHIV DHARI SINGH K GHAR 01 NAG SOLAR LIGHT,RAJ KUMAR YADAV S\O PRAKASH NATH K GHAR 01 NAG SOLAR LIGHT,0
train,hard_negative,Umesh ke ghar ke pass solar light 4-way,Balveer yadav sagarpur ke ghar ke pass solarlight 4-way,0
train,positive,MS Pole with LED Semi High Mast Light,MS Pole with LED Semi High Mast Light,1
train,hard_negative,PONDI BUS STAND KE PAS,JAMUNIHA NO 02 BUS STAND KE PAS,0
train,positive,HIGH MAST LIGHT KA ADHISTHAPAN -1,HIGH MAST LIGHT KA ADHISTHAPAN -1,1
train,easy_negative,Bhuj talukana bhuj shaerana lalan college open air theaterni jamani bajuma comman work shed,"open gym material (ped deck, rover, air swing swing, leg press, surf board, cross trainer, parralel bar)",0
train,hard_negative,SAHAB LAL YADAV S\O MOTI LAL YADAV K GHAR SOLAR LIGHT,RAM DHAN SAROJ S\O SUKH RAM SAROJ K GHAR 01 NAG SOLAR LIGHT,0
train,hard_negative,"Construction of bus-sheds or bus-stops at Jakkasandra Village, Chiluru Grama Panchayath, Harohalli Taluk, Ramanagara District, Karnataka","Construction of New Building of Milk Producers Co-operative Society at Kodiyala Karenahalli, Byramangala Grama Panchayath, Bidadi Hobli, Ramanagara Taluk & District, Karnataka State.",0
train,hard_negative,MUKESH MISHRA S\O RAM CHANDRA MISHRA K GHAR 01 NAG SOLAR LIGHT,TAUFIQ AHAMAD S\O SUVRAATI  K GHAR 01  NAG SOLAR LIGHT,0
train,positive,15.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE PATHVARI ME KABRISTAN KE PASS HIGH MAST LIGHT),39.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE KAGPUR ME DHARMSHALA KE PASS HIGH MAST LIGHT),1
train,positive,MS Pole with LED semi High Mast Light,MS Pole with LED semi High Mast Light,1
train,positive,installation of solar street light near bajrangbali mandir in murhulsudi,installation of solar street light near tilaiya bajrangbali mandir in tilaiya,1
train,positive,MS Pole with LED semi High mast Light,MS pole with LED Semi High Mast Light,1
train,positive,Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.,Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.,1
train,positive,Purchase of mobile water tanker for village Kawdiya,Purchase of mobile water tanker village Hirapur,1
train,easy_negative,Frends Colony Pani Tanki ke pass vatar Park ke Pass high mast light,Highmast light,0
train,positive,L.No. 184 Dt 07.10.2024 Gram Panchayat Badnagar ke gram Salabadi me,L.No. 184 Dt 07.10.2024 Gram Panchayat Rolgaon ke gram Sultanpur me,1
train,easy_negative,"Construction of RCC Bridge at Den Teron Gaon, Namati",Aahiya S/o Kaira Address Saidabad ke Ghar ke samne Handpump,0
train,easy_negative,KHAIRPUR ME KHAIRPUR MINAR PAR SHRI RAJENDRA VERMA KE KHET SE RAM CHANDRA KE GHAR TAK MITTI AND KHADANJA KARYA DURI 375M,Purchase of mobile water tanker for village Kumbi,0
train,positive,MS Pole with LED semi High Mast Light,MS Pole with LED semi High Mast Light,1
train,hard_negative,Construction of community hall at landi ta. Daryapur DIst Amravati,"Construction of Road At Muslim kabrasthan ,Ward No 8 Babhali , Daryapur Dist. Amravati",0
train,positive,KUSMI BUS STAND KE PAS,NEBUHA BUS STAND KE PAS,1
train,positive,installation of solar street light near hari mandir khatri tola in petarbar,Installation of solar street light near shiv mandir jamtiyahir taalab in penk,1
train,easy_negative,purchase of books for school public library,Shingling works of internal roads at  M Songgel Village,0
train,positive,Installation of solar street light near durga mandir dumuhan in mungo rangamati.,Installation of solar street light near kali mandir in taranari.,1
train,positive,MS Pole with LED semi High Mast Light,MS Pole with LED semi High Mast Light,1
train,hard_negative,AMARWAH ME BUS STAND KE PAS,JHAGRI BUS STAND KE PAS,0
train,positive,installation of solar street light near shiv mandir pipradih in swang north,installation of solar street light near shiv mandir takaha in sadma kalan.,1
train,positive,installation of solar street light near nai tola in jamkudar,installation of solar street light near fuku mahto house in bagda,1
train,positive,46.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SHYAMIVALA KHURSHID MANSURI KE GHAR KE PASS HIGH MAST LIGHT),56.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE BIRUWALA ME TAHARPUR GURUDWARA  KE BACK SIDE ME  HIGH MAST LIGHT),1
train,easy_negative,HIGH MASK SOLAR LIGHTS,cc/interlocking sadak with nali nirman karya rajesh ramprasad ke ghar se moharsingh jatav v makkhan ke ghar ki taraf gram gahlawata,0
train,positive,MS Pole with LED semi High mast Light,MS Pole with LED semi High Mast Light,1
train,positive,MS Pole with LED semi High Mast Light,MS Pole with LED Semi High Mast Light,1
train,hard_negative,MOHD. AFASAR S\O MAHMOOD HASAN K GHAR 01  NAG SOLAR LIGHT,TAUFIQ AHAMAD S\O SUVRAATI  K GHAR 01  NAG SOLAR LIGHT,0
train,hard_negative,KAMLESH YADAV S\O SHYAMRAJ K GHAR 01 NAG SOLAR LIGHT,RAM PRASAD YADAV S\O RAM BALI YADAV K GHAR 01 NAG SOLAR LIGHT,0
train,hard_negative,SHRIMATI KAMLESH KUMARI W\O KAMLESH K GHAR 01 NAG SOLAR LIGHT,TASLIM ARIF S\O JIYA UL HAQ K GHAR 01 NAG SOLAR LIGHT,0
train,hard_negative,Kunal Pasi Son of Jagdeesh Add.- Parsipur Kunda ke Ghar ke samne hundpump,Rakesh Saroj son of Devraj Add.- Korali ke Ghar ke samne hundpump,0
train,positive,27.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MUSTAFAPUR ME MAIN CHORAHE KE PASS HIGH MAST LIGHT),53.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MATHURAPURMOR (BADIYA) ME MAIN HIGHWAY PAR HIGH MAST LIGHT),1
train,hard_negative,"1- UDAY RAJ YADAV S/O LALTA PRASAD YADAV, 2- VIJAY SAROJ S/O LALLU SAROJ K GHAR 02 NAG SOLAR LIGHT","1- RAKESH SINGH S\O BANSH RAJ SINGH, 2- RAJ KUMAR YADAV S\O JOKHAN YADAV K GHAR KUL 02 NAG SOLAR LIGHT",0
train,positive,gram panchayat Ripurwa Mafi me tirahe ke paas sarwjanik sthan par high mast light sthapna karya,gram panchayat Chandi Bangar me sc/st basti ke tirahe ke  paas sarwjanik sthan par high mast light sthapna karya,1
train,easy_negative,Rajesh Kumar S/o Dukhi Lal  ke Ghar ke samne Handpump,MS Pole with LED semi High Mast Light,0
train,hard_negative,"1- SANTOSH KUMAR YADAV S\O NAND LAL YADAV, 2- SANTOSH PATEL S\O SATYA NARAYAN K GHAR 02 NAG SOLAR LIGHT","1- CHHEDI LAL MALI S\O BANWARI LAL MALI, 2- MOHD. JAMAL S\O MOHD. JALLA K GHAR KUL 02 NAG SOLAR LIGHT",0
train,hard_negative,"1- SHANNI YADAV S\O ANIL YADAV , 2- VISHUN PAL S\O JANGI PAL K GHAR KUL 02 NAG SOLAR LIGHT","1- GYAN PRAKASH YADAV S\O SAHAB LAL YADAV, 2- SANTOSH YADAV S\O SHIV NATH YADAV K GHAR 02 NAG SOLAR LIGHT",0
train,positive,86.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (DHAMPUR ME DHAMPUR FIRE STATION KE PASS HIGH MAST LIGHT),90.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE BHANEDA ME AMBEDKAR DHARMSHALA KE PASS HIGH MAST LIGHT),1
train,positive,MS Pole with LED Semi High Mast Light,MS pole with LED Semi High Mast Light,1
train,hard_negative,gram panchayat Pahadi Bujurg me barethi tirahe ke paas sarwjanik sthan par high mast light sthapna karya,gram panchayat Kanthipur chaurahe ke paas sc/st basti ke sarwjanik sthan par high mast light sthapna karya,0
train,hard_negative,RAM PARAKASH PANDEY S\O TRIDEV PANDEY K GHAR 01 NAG SOLAR LIGHT,MAHTAB ALAM S\O MO. SAMIULLAH K GHAR 01  NAG SOLAR LIGHT,0
train,easy_negative,Installation of Semi High Mast Lights at different places as per attached recommendation letter.,Construction of waiting shed at Minbung under Singhason MAC Constituency,0
train,positive,construction of mask light in telkhara mod of telkhara village of kalhabar panchayat.,construction of mask light near telkhara bazaar tand durga mandir of telkhara village of kalhabar panchayat.,1
train,hard_negative,SUNIL CHAURASIYA S\O JETAL PAL CHAURASIYA K GHAR 01NAG SOLAR LIGHT,ROHIT PAL S\O RAM SEVAK PAL K GHAR 01 NAG SOLAR LIGHT,0
train,hard_negative,Nathu Ram Yadav S/o Mahadev Yadav Ke Ghar ke samane Handpump,Ram chandra S/o Jangli ke Ghar ke samane Handpump,0
train,easy_negative,"Electrification work near farm of Sohalal ,Siyaram and madanlal located in Kadwasro ki Dhani","The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Vihan village Near BOB Bank Taluka Kamrej, District Surat",0
train,positive,25.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SHAHABPURA ME MASZID KE PASS HIGH MAST LIGHT),83.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (SEOHARA ME MAIN CHORAHE PAR HIGH MAST LIGHT),1
train,hard_negative,Santosh Kumar Son of Ram Kumar Saroj Add.- Siya Ramganj Bazar ke Ghar ke samne hundpump,Parshuram Saroj son of Jageshwar Saroj Add.- Sadhe ka purwa Mahiyamau ke Ghar ke samne hundpump,0
train,positive,MS Pole with LED semi High Mast Light,MS Pole with LED semi High Mast Light,1
train,easy_negative,Gram Sabha Lamahi me Ram Bhajan Dhaam Ke Samne Sadak par,books suplly at various schools of khandwa district,0
train,hard_negative,Mohd Idrish S/o Najar Ahmad ke Ghar ke samne Handpump,Sanjay Saroj S/o Ram Chandra Pasi ke Ghar ke samne Handpump,0
train,positive,42.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE RAJPUR NAWADA ME RAVIDASH DHARMSHALA KE PASS HIGH MAST LIGHT),72.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE FATEHULLAPUR DURG ME MAIN CHORAHE PAR HIGH MAST LIGHT),1
train,easy_negative,"Interlocking work of 250 meter length from Om Prakashs house to Mahesh Singhs house in Sarayananhu, Paraspur.",installation of solar street light near birsa munda chowk in lukuiya in darid panchayat.,0
train,easy_negative,matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,Sr.No. 03 Interlocking work in 400 meter length from Panchayat Bhawan to Pathakpurwa.,0
train,easy_negative,"Electrification work in hamlets of Arjunram, Manohar, Pancharam and Malaram situated on Chibani road in village Kadlu",Umariya game narsury road faliyama samuhik sinchai kuvanu kam,0
train,hard_negative,Construction of Public well/spring tanky near Pi Rosangchimi house. Luimawi,Construction of pavilion at Public Playground at Chhumkhum,0
train,easy_negative,Providing of LED Street Lights in Dharmojigudem (V),"1- SHAILENDRA CHAUHAN S\O YASHWANT, 2- DEVENDRA YADAV S\O AMAR DEV K GHAR KUL 2 NAG SOLAR LIGHT",0
train,positive,MS Pole with LED semi High Mast Light,MS pole with LED Semi High Mast Light,1
train,hard_negative,SEWA LAL YADAV S\O RAM NATH YADAV K GHAR 01 NAG SOLAR LIGHT,RAJ YASH YADAV S\O LALTA PRASAD YADAV K GHAR 01 NAG SOLAR LIGHT,0
train,easy_negative,GRAM PANCHAYAT BAMHORI PANJI ME PANI KE TENKAR KI KHARED,"In village panchayat Chitha, from pitch road to Ram Prasad Yadav's house, CC road construction work distance is approximately 165 meters. Development block- Gaur.",0
train,positive,MS pole with LED semi High Mast Light,MS Pole with LED Semi High Mast Light,1
train,hard_negative,DUBARI KALA BUS STAND KE PAS,PAMARIYA BUS STAND KE PAS,0
train,positive,MS Pole with LED semi High Mast Light,MS pole with LED semi High Mast Light,1
train,hard_negative,3-gram panchayat miyan barauli me poorv madhyamik vidyalay ke paas sarvjanik sthan par  himax light sthapna kary,gram panchayat enguva ke majara  gonda me vimlesh yadav ke ghar ke samne sarvjanik sthan par himax light sthapna kary,0
train,hard_negative,SIROMAN PAL S\O RAM CHIRANJIV PAL K GHAR 01 NAG SOLAR LIGHT,SANJAY KUMAR MAURYA S\O LAL BAHADUR MAURYA K GHAR 01 NAG SOLAR LIGHT,0
train,hard_negative,KARWAHI BUS STAND KE PAS,MAJHIGAWAN BUS STAND KE PAS,0
train,hard_negative,Mohd Hasin S/o Mohd Hasib Ke Ghar ke samane Handpump,Sunil Kumar S/o Suraj Pal Charai Charwa ke Ghar ke samne Handpump,0
train,hard_negative,JITENDRA YADAV S\O KASHI NATH YADAV K GHAR 01 NAG SOLAR LIGHT,RAJ YASH YADAV S\O LALTA PRASAD YADAV K GHAR 01 NAG SOLAR LIGHT,0
train,positive,khapariya game damor faliya ma c.c.road nu kam,dhanarpatiya game mukhy  faliyama c.c.road nu kam,1
train,easy_negative,Gram Sabha Jagapur me purva Madhyamik School ke Pas,Gram Panchayat Ranipura Me Tikaram Sen ke ghar se dalchand yadav ke ghar ki or C.C. Road Nirman Karya hetu.,0
train,easy_negative,"Sinking of tubewell at Kakdwip near Bidhan Das house.Dag No-1797,JL No-39",High Mask Light near Public Cemetery in Village Sankhwas,0
train,hard_negative,TAHSILDAR YADAV S\O KAMLA SHANKAR YADAV K GHAR 01 NAG SOLAR LIGHT,RAM SHIROMANI RAJBHAR S\O LALBALI K GHAR 01 NAG SOLAR LIGHT,0
train,hard_negative,Ramesh Chandra S/o Ram Saran Ke Ghar ke Samne Handpump,"Amrit Lal S/o Ram Khelawan, Ram Dayalpur Ke Ghar ke samane Handpump",0
train,hard_negative,gram panchayat Bandha me tirahe ke paas sc/st basti ke sarwjanik sthan par high mast light sthapna karya,gram panchayat Pahadi Bujurg me bisanda road mandir ke paas sarwjanik sthan par high mast light sthapna karya,0
train,positive,28.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MUSTAFAPUR NAI BASTI ME BAIPASS SERVICE ROAD  KE PASS HIGH MAST LIGHT),45.	HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE BAKHARPUR ME DHARMSHALA KE PASS HIGH MAST LIGHT),1
train,positive,gram panchayat Chilli Mal Banger me  sarwjanik sthan par high mast light sthapna karya,gram panchayat Atrouli Mafi me Babbu Singh ke makan ke paas  sarwjanik sthan par high mast light sthapna karya,1
train,positive,FOOL CHAND YADAV S\O BANSH RAJ YADAV K GHAR 01 NAG SOLAR LIGHT,VINOD KUMAR YADAV S\O SABHAJEET YADAV K GHAR 01 NAG SOLAR LIGHT,1
train,easy_negative,"1- ABID SIDDIQUE S\O MOHD. ARIF, 2- AFSAR ANSARI S\O MOH. ISLAM, 3- SHOBH NATH YADAV S\O MANNU LAL YADAV, 4- MOOLCHAND YADAV S\O RAM LAKHAN YADAV K GHAR KUL 4 NAG SOLAR LIGHT",CONSTRUCTION OF COMPOUND WALL at Muslim Burial ground in Podadurthy V & GP of Kamalapuram (M) IN Y.S.R KADAPA District.,0
train,hard_negative,Block Sandalpur Sudhvapur Men Hanuman Ji mandir KE pass High Mast Light,Block Derapur Lalpurva Chauraha  Ke Pass High Mast Light,0
train,hard_negative,Raniya S/o Ajij Ahmad ke Ghar ke samne Handpump,Irfan Ahmad S/o Kabiuddin Ke Ghar ke Samne Handpump,0
train,positive,Book's purchase for Student's improve knowledge and mental development.,Book's purchase for Student's improve knowledge and mental development.,1
train,hard_negative,Shri Bhup Pal S/o Shri Babu Lal Address Bhairopur Dorma Ke Ghar ke Samne Handpump,Rajesh Kumar Pal S/o Harishchandra Address Purana Purwa korio Ke Ghar ke Samne Handpump,0
train,hard_negative,Construction of Community hall for Nabhik Samaj at Jalgaon,Repair/Construction of Community hall at Kaloshi,0
train,hard_negative,Indrapal S/o Ram Khelawan ke Ghar ke samne Handpump,Pancham Lal S/o Chaube Lal Driyawan ka purwa ke ghar ke samne handpump,0
train,hard_negative,VINOD KUMAR YADAV S\O SABHAJEET YADAV K GHAR 01 NAG SOLAR LIGHT,RAMESH PAL S\O DEV SHARAN PAL K GHAR 01 NAG SOLAR LIGHT,0
